STATION CODE,LOCATIONS,STATE,D.O. (mg/l),PH,B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),WQI
43,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",KERALA,6.8,7.2,0.6,0.39,1200.0,73.41996260869567
1980,AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUCH,GUJARAT,2.0,7.7,32.3,3.44,11498.0,617.2048231884058
3473,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",KERALA,6.6,6.8,1.1,0.06,149.0,51.54345652173914
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,7.3,6.2,1.2,0.33,9.0,32.14372782608696
1571,"R KARINGODE AT KAKKADAVU,  KERALA",KERALA,7.0,6.9,1.1,0.18,44.0,45.63684869565219
1699,"U/S DHAKANSU NALLAH, PUNJAB",PUNJAB,5.1,7.2,13.5,2.55,22000.0,682.2732608695653
1400,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,7.1,8.0,1.25,0.02,3.0,64.5873284057971
1573,"CHITRAPUZHA AT IRUMPANAM, KERALA",KERALA,3.0,6.6,1.7,1.2,247.0,69.82928695652174
2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,7.2,6.9,2.2,0.28,134.0,57.55316811594203
1092,KALU AT ATALE VILLAGE,MAHARASHTRA,4.8,7.2,8.4,2.08,177.0,130.3985750724638
1543,"RIVER KALNA AT CHANDELNAN PERNEM, GOA",GOA,7.1,7.1,1.2,0.1,4573.0,151.2726150724638
2423,"BUDHABALANGA, D/S OF BARIPADA TOWN",ODISHA,7.5,7.9,1.8,0.45,1225.0,93.4221139130435
2672,"KUNDALIKA AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATIONNANSWEET ZONE), ROHA",MAHARASHTRA,6.9,7.7,3.1,0.42,69.0,78.2631556521739
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,5.4,6.5,4.0,0.1,320.0,78.24297333333334
1207,KABBANI AT MUTHANKARA,KERALA,6.8,7.3,0.6,0.4,598.0,61.523955942029
1428,"KHARKHLA NEAR SUTNGA KHLIERIAT,JAINTIA HILLS DT.,MEGHALAYA",MEGHALAYA,4.6,3.0,6.2,2.2,33.0,34.60870898550723
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,6.6,7.7,1.6,0.2,362.0,73.0116631884058
1548,ASSONORA AT ASSONORA,GOA,7.2,6.1,2.6,0.92,8.0,43.30972144927535
1295,"GHAGGAR NEAR BANKARPUR,DERA BASSI,PUNJAB",PUNJAB,5.0,6.7,7.5,2.2,1300.0,138.49574115942028
1442,"VAMANAPURAM, KERALA",KERALA,6.8,6.976999999999999,0.6,0.53,0.53,42.80481427536231
1719,"GAGGAR RIVER D/S HANUMANGARH NEAR 2 KNJ NAI ABADI, MAKKASR, RAJASTHAN",RAJASTHAN,5.0,7.3,1.7,0.0,4.0,66.59888782608695
2301,R KAVVAI AT KUTTIYOL PALAM,KERALA,6.0,5.9,1.0,0.63,73.0,32.87765826086957
1436,"BHADAR V/S JETPUR VILL. A/C OF W. WATER FROM JETPUR CITY, GUJARAT",GUJARAT,4.3,7.8,103.8,1.23,478.4,993.8919565217392
3352,"UMKHEN RIVER AT DIENGPASOH, EAST KHASI HILLS",MEGHALAYA,7.3,7.3,2.0,3.0,25.0,58.93802782608696
2298,R KUPPAM AT RAYAROM,KERALA,7.8,6.8,1.4,0.3,122.0,44.44467304347826
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,4.5,6.6,2.4,0.16,1572.0,98.999855942029
1475,ZUARI AT PANCHAWADI,GOA,6.2,6.9,1.3,0.48,13.0,52.94642434782609
1151,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA,6.37,7.06,4.5,0.35,18.0,81.0164431884058
1155,"KARAMANA AT MOONNATTUMUKKU, KERALA",KERALA,6.6,6.77,1.38,1.54,2433.0,101.44700385507248
2712,"VAITARNA NR RD BDG, GANDHARE VILLAGE, WADA, THANE.",MAHARASHTRA,6.6,7.8,3.5,0.57,30.0,84.14981652173913
1151,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA,7.4,7.383,6.0,0.61,0.61,94.53988120289854
3305,"BANJAR AT MALANJKHAND NR W/S INTAKE POINT, JABALPUR",MADHYA PRADESH,7.3,7.4,2.1,0.58,4.0,60.89984115942031
3305,"RIVER BANJAR AT MALANJKHAND NEAR W/S INTAKE POINT, JABALPUR",MADHYA PRADESH,7.3,7.3,2.1,0.0,4.0,59.10042782608696
1572,"PADIYATHADKA, KERALA",KERALA,7.1,7.026000000000001,0.4,0.17,0.17,40.25926540579712
20,"CHALIYAR AT KOOLIMADU, KERALA",KERALA,6.9,6.7,0.5,0.2,688.0,51.77766231884058
1340,"MANIMALA  AT KALLOOPARA,",KERALA,7.3,7.1,1.3,0.41,415.0,57.79201449275362
2335,R PERIYAR AT KALAMASSERY,KERALA,4.9,6.7,2.2,0.28,480.0,72.07380811594203
1546,RIVER KHANDEPAR AT OPA NAN PONDA,GOA,7.1,5.9,1.8,0.28,9.0,33.19791507246378
1718,"GAGGAR  ENTERING IN  FROM HARYANA NR RD NO. 629, ",PUNJAB,3.3,7.9,1.3,0.97,5.0,81.91095942028986
1400,MANDOVI AT NEGHBOURHOOD OF PANAJI,GOA,5.8,7.2,5.3,0.17,855.0,112.37565884057972
1455,"RUSHIKULYA AT GANJAM U/S, ORISSA",ORISSA,7.9,7.9,2.1,0.21,993.0,89.09232608695653
1444,"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",KARNATAKA,7.3,7.3,2.4,3.4,18.0,62.37996115942028
1546,"RIVER KHANDEPAR AT OPA NAN PONDA, GOA",GOA,7.3,7.0,1.5,0.2,1095.0,73.21271449275363
